episodio,recompensa,epsilon,tubos_pasados
8497,2.10,0.6539,2
8498,-6.90,0.6538,0
8499,-6.30,0.6538,0
8500,-5.70,0.6538,0
8501,-5.70,0.6537,0
8502,-7.50,0.6537,0
8503,-4.50,0.6537,0
8504,-6.30,0.6536,0
8505,-5.10,0.6536,0
8506,-6.30,0.6536,0
8507,-5.10,0.6535,0
8508,-7.50,0.6535,0
8509,-2.10,0.6535,0
8510,-4.50,0.6534,0
8511,-4.50,0.6534,0
8512,-8.10,0.6534,0
8513,-4.50,0.6533,0
8514,-3.30,0.6533,0
8515,-2.10,0.6533,0
8516,-4.50,0.6532,0
8517,-2.10,0.6532,0
8518,-8.10,0.6532,0
8519,-5.70,0.6531,0
8520,2.10,0.6531,2
8521,1.50,0.6531,1
8522,-7.50,0.6530,0
8523,-5.70,0.6530,0
8524,-5.10,0.6530,0
8525,-6.30,0.6529,0
8526,-6.30,0.6529,0
8527,3.90,0.6529,3
8528,-1.50,0.6528,0
8529,-5.70,0.6528,0
8530,-2.70,0.6528,0
8531,-2.70,0.6528,0
8532,-0.30,0.6527,0
8533,-3.90,0.6527,0
8534,-5.70,0.6527,0
8535,-6.30,0.6526,0
8536,1.50,0.6526,1
8537,-5.10,0.6526,0
8538,-5.10,0.6525,0
8539,-6.30,0.6525,0
8540,-4.50,0.6525,0
8541,-3.90,0.6524,0
8542,-5.10,0.6524,0
8543,-5.10,0.6524,0
8544,-2.70,0.6523,0
8545,0.30,0.6523,0
8546,-3.30,0.6523,0
8547,-7.50,0.6522,0
8548,-7.50,0.6522,0
8549,-5.10,0.6522,0
8550,-6.30,0.6521,0
8551,-2.10,0.6521,0
8552,-3.90,0.6521,0
8553,-0.90,0.6520,0
8554,-4.50,0.6520,0
8555,-3.90,0.6520,0
8556,-6.90,0.6519,0
8557,-6.90,0.6519,0
8558,-7.50,0.6519,0
8559,-5.10,0.6518,0
8560,-5.70,0.6518,0
8561,-5.10,0.6518,0
8562,-3.90,0.6517,0
8563,-8.10,0.6517,0
8564,-6.90,0.6517,0
8565,-5.70,0.6516,0
8566,-6.30,0.6516,0
8567,-0.90,0.6516,0
8568,-3.90,0.6515,0
8569,-0.90,0.6515,0
8570,-6.30,0.6515,0
8571,-6.90,0.6514,0
8572,-6.30,0.6514,0
8573,-5.70,0.6514,0
8574,-6.90,0.6513,0
8575,-5.70,0.6513,0
8576,-5.10,0.6513,0
8577,-2.10,0.6513,0
8578,-5.70,0.6512,0
8579,-8.10,0.6512,0
8580,-4.50,0.6512,0
8581,-7.50,0.6511,0
8582,-7.50,0.6511,0
8583,2.10,0.6511,2
8584,-3.90,0.6510,0
8585,-0.90,0.6510,0
8586,-5.70,0.6510,0
8587,-6.30,0.6509,0
8588,-3.90,0.6509,0
8589,-0.90,0.6509,0
8590,-6.90,0.6508,0
8591,-5.10,0.6508,0
8592,-5.70,0.6508,0
8593,-0.90,0.6507,0
8594,-6.90,0.6507,0
8595,-6.90,0.6507,0
8596,-6.30,0.6506,0
8597,-7.50,0.6506,0
8598,-5.70,0.6506,0
8599,-8.10,0.6505,0
8600,-6.30,0.6505,0
8601,-6.30,0.6505,0
8602,-3.90,0.6504,0
8603,-7.50,0.6504,0
8604,-4.50,0.6504,0
